snapped_at,price,market_cap,total_volume
2025-03-15 00:00:00 UTC,11.935147678326699,2387241109.612116,1673433823.446848
2025-03-16 00:00:00 UTC,12.19150154920306,2439080294.300505,696293694.526182
2025-03-17 00:00:00 UTC,11.211367409489311,2242157707.5812345,570398399.4855945
2025-03-18 00:00:00 UTC,11.415605152165606,2283493542.1272116,571787308.4576213
2025-03-19 00:00:00 UTC,11.033561859194197,2204462270.850568,476527152.9982501
2025-03-20 00:00:00 UTC,11.663792502202279,2329797801.083754,665415484.1297096
2025-03-21 00:00:00 UTC,11.054757090784317,2211745838.411578,549457000.5614549
2025-03-22 00:00:00 UTC,10.84294129109128,2168906621.975756,358323968.5630497
2025-03-23 00:00:00 UTC,10.7358760648568,2147309573.6815565,331808714.3500862
2025-03-24 00:00:00 UTC,11.48391210195106,2297535139.6953726,1191048844.362173
2025-03-25 00:00:00 UTC,11.878715619601964,2369432019.4604087,890526300.4209552
2025-03-26 00:00:00 UTC,11.602794842995198,2320502661.4346576,510965328.939697
2025-03-27 00:00:00 UTC,11.402822610093562,2278163759.0548186,520315596.5369951
2025-03-28 00:00:00 UTC,11.114736835416938,2223648751.3372207,374847812.3565324
2025-03-29 00:00:00 UTC,10.333478945959577,2066446975.1005442,510028739.24550146
2025-03-30 00:00:00 UTC,10.077633426464546,2012583581.5958765,317412823.94479185
2025-03-31 00:00:00 UTC,10.199896611490088,2038189113.461108,230712750.77354586
2025-04-01 00:00:00 UTC,10.028493685370414,2005709558.357142,327896768.59620625
2025-04-02 00:00:00 UTC,10.400200033998782,2080693161.7093863,371215882.58599555
2025-04-03 00:00:00 UTC,9.209310349304038,1845864752.5976667,868911144.640136
2025-04-04 00:00:00 UTC,9.452391405975927,1890277807.1755638,636288350.5045416
2025-04-05 00:00:00 UTC,9.348262228108089,1869356019.8087463,488956372.3772014
2025-04-06 00:00:00 UTC,9.22998565500493,1839416796.608793,173417429.6925682
2025-04-07 00:00:00 UTC,7.918155748011572,1587061869.9064531,633465066.1220913
2025-04-08 00:00:00 UTC,7.832766112089679,1570053303.4806876,996741265.557081
2025-04-09 00:00:00 UTC,7.569442984136786,1515304272.858741,471830921.7719096
